gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022301166,1610612765,Detroit,Pistons,DET,pistons,240:00,104.9,107.1,126.2,130.9,-21.4,-23.8,0.711,1.35,20.1,0.256,0.681,0.478,19.976,20.4,0.584,0.603,1.0,0.198,100.36,97.5,81.25,98.0,0.407
0022301166,1610612741,Chicago,Bulls,CHI,bulls,240:00,126.2,130.9,104.9,107.1,21.4,23.8,0.549,3.11,20.1,0.319,0.744,0.522,8.946,9.3,0.604,0.619,1.0,0.197,100.36,97.5,81.25,97.0,0.593
0022301066,1610612751,Brooklyn,Nets,BKN,nets,240:00,130.6,133.0,112.8,113.7,17.9,19.3,0.605,3.71,19.4,0.264,0.775,0.484,7.316,7.4,0.61,0.621,1.0,0.197,95.72,94.5,78.75,94.0,0.518
0022301066,1610612741,Chicago,Bulls,CHI,bulls,240:00,112.8,113.7,130.6,133.0,-17.9,-19.3,0.632,1.85,19.2,0.225,0.736,0.516,13.576,13.7,0.567,0.615,1.0,0.2,95.72,94.5,78.75,95.0,0.482
0022301104,1610612737,Atlanta,Hawks,ATL,hawks,240:00,113.5,116.3,107.4,109.7,6.1,6.6,0.735,2.25,24.2,0.262,0.811,0.568,15.009,15.4,0.617,0.626,1.0,0.199,105.92,103.5,86.25,104.0,0.566
0022301104,1610612765,Detroit,Pistons,DET,pistons,240:00,107.4,109.7,113.5,116.3,-6.1,-6.6,0.558,2.4,17.5,0.189,0.738,0.432,9.502,9.7,0.511,0.547,1.0,0.198,105.92,103.5,86.25,103.0,0.434
0022301174,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,122.7,126.5,113.6,116.5,9.2,10.0,0.56,2.55,19.4,0.292,0.727,0.5,10.464,10.8,0.595,0.614,1.0,0.195,105.4,102.5,85.42,102.0,0.504
0022301174,1610612754,Indiana,Pacers,IND,pacers,240:00,113.6,116.5,122.7,126.5,-9.2,-10.0,0.804,2.64,24.7,0.273,0.708,0.5,13.248,13.6,0.567,0.608,1.0,0.197,105.4,102.5,85.42,103.0,0.496
0022301003,1610612757,Portland,Trail Blazers,POR,blazers,240:00,106.6,106.2,120.1,119.6,-13.5,-13.4,0.538,1.24,16.7,0.222,0.786,0.494,17.598,17.5,0.574,0.588,1.0,0.201,96.6,97.0,80.83,97.0,0.392
0022301003,1610612746,LA,Clippers,LAC,clippers,240:00,120.1,119.6,106.6,106.2,13.5,13.4,0.644,2.42,21.7,0.214,0.778,0.506,12.422,12.4,0.599,0.626,1.0,0.197,96.6,97.0,80.83,97.0,0.608
0022301133,1610612754,Indiana,Pacers,IND,pacers,240:00,119.1,121.9,118.5,121.1,0.6,0.8,0.614,3.86,20.9,0.209,0.804,0.517,7.125,7.3,0.564,0.614,1.0,0.198,97.66,95.5,79.58,96.0,0.533
0022301133,1610612748,Miami,Heat,MIA,heat,240:00,118.5,121.1,119.1,121.9,-0.6,-0.8,0.538,3.0,16.7,0.196,0.791,0.483,7.211,7.4,0.512,0.586,1.0,0.198,97.66,95.5,79.58,95.0,0.467
0022301010,1610612756,Phoenix,Suns,PHX,suns,240:00,133.5,134.7,111.9,121.1,21.6,13.7,0.683,1.65,21.4,0.273,0.623,0.488,17.73,17.9,0.703,0.745,1.0,0.198,99.32,95.0,79.17,95.0,0.578
0022301010,1610612737,Atlanta,Hawks,ATL,hawks,240:00,111.9,121.1,133.5,134.7,-21.6,-13.7,0.675,2.45,19.0,0.377,0.727,0.512,10.705,11.6,0.505,0.554,1.0,0.192,99.32,95.0,79.17,95.0,0.422
0022300967,1610612745,Houston,Rockets,HOU,rockets,240:00,114.4,115.8,103.2,103.0,11.2,12.8,0.596,2.8,19.8,0.264,0.83,0.53,9.777,9.9,0.556,0.566,1.0,0.198,101.04,100.5,83.75,101.0,0.537
0022300967,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,103.2,103.0,114.4,115.8,-11.2,-12.8,0.595,1.38,17.1,0.17,0.736,0.47,16.032,16.0,0.524,0.567,1.0,0.199,101.04,100.5,83.75,100.0,0.463
0022301002,1610612756,Phoenix,Suns,PHX,suns,240:00,112.2,113.9,101.1,101.0,11.1,12.9,0.756,1.48,22.6,0.37,0.724,0.567,22.435,22.8,0.606,0.615,1.0,0.199,101.72,101.0,84.17,101.0,0.56
0022301002,1610612755,Philadelphia,76ers,PHI,sixers,240:00,101.1,101.0,112.2,113.9,-11.1,-12.9,0.805,3.0,22.5,0.276,0.63,0.433,10.9,10.9,0.5,0.496,1.0,0.197,101.72,101.0,84.17,101.0,0.44
0022301154,1610612762,Utah,Jazz,UTA,jazz,240:00,94.3,100.0,115.8,116.8,-21.5,-16.8,0.528,1.27,14.5,0.345,0.686,0.509,14.893,15.8,0.451,0.491,1.0,0.199,98.28,95.0,79.17,95.0,0.396
0022301154,1610612743,Denver,Nuggets,DEN,nuggets,240:00,115.8,116.8,94.3,100.0,21.5,16.8,0.652,3.0,21.6,0.314,0.655,0.491,10.434,10.5,0.564,0.562,1.0,0.198,98.28,95.0,79.17,95.0,0.604
0022301045,1610612749,Milwaukee,Bucks,MIL,bucks,290:00,98.8,100.0,103.2,104.1,-4.3,-4.1,0.755,2.64,20.8,0.257,0.701,0.468,11.157,11.3,0.475,0.49,1.0,0.199,103.27,102.21,85.17,124.0,0.459
0022301045,1610612747,Los Angeles,Lakers,LAL,lakers,290:00,103.2,104.1,98.8,100.0,4.3,4.1,0.714,1.76,17.7,0.299,0.743,0.532,13.701,13.8,0.454,0.524,1.0,0.201,103.27,102.21,85.17,123.0,0.541
0022301013,1610612748,Miami,Heat,MIA,heat,240:00,96.1,98.9,125.7,124.7,-29.7,-25.8,0.71,3.67,18.2,0.193,0.683,0.398,6.55,6.7,0.436,0.475,1.0,0.195,89.94,89.0,74.17,89.0,0.378
0022301013,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,125.7,124.7,96.1,98.9,29.7,25.8,0.595,1.92,20.0,0.317,0.807,0.602,14.726,14.6,0.622,0.636,1.0,0.197,89.94,89.0,74.17,89.0,0.622
0022301088,1610612765,Detroit,Pistons,DET,pistons,240:00,115.3,113.7,111.0,118.3,4.3,-4.6,0.55,1.57,17.6,0.25,0.593,0.439,14.944,14.7,0.576,0.609,1.0,0.199,96.4,94.0,78.33,95.0,0.5
0022301088,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,111.0,118.3,115.3,113.7,-4.3,4.6,0.7,2.15,19.7,0.407,0.75,0.561,13.115,14.0,0.5,0.544,1.0,0.2,96.4,94.0,78.33,93.0,0.5
